AssetID,Desc,DeprYTD,cCode,eCode,ceCode,odooAssetAcctNo,odooExpAcctNo
199,Exhaust Hood Welder Table,0.0,3,0,3000,15300,61900
200,60- Collapsible Bins,0.0,3,0,3000,15300,61900
201,Weld Screen,0.0,3,0,3000,15300,61900
202,Welder - Mfg,0.0,3,0,3000,15300,61900
210,Color Laser Printer,0.0,5,906,5000,15500,70600
212,Fax Machine,0.0,5,906,5000,15500,70600
213,Bar Coding Software,0.0,5,906,5000,15500,70700
214,Enhancements WA & Installation,0.0,5,906,5000,15500,70700
215,Installation of Bar Coding Software & Training,0.0,5,906,5000,15500,70700
216,Trumpf 2510  Laser - Used,0.0,3,0,3000,15300,61900
219,Off load laser w/ crane,0.0,3,0,3000,15300,61900
221,7 Gauge Dump Hopper,0.0,3,0,3000,15300,61900
222,Steel Racking - Steel Sheets,0.0,3,0,3000,15300,61900
223,Press Brake,0.0,3,0,3000,15300,61900
224,25 Plastic Black Bins,0.0,3,0,3000,15300,61900
227,Welder - Valley Industrial Gases,0.0,3,0,3000,15300,61900
229,40 Plastic Black Bins,0.0,3,0,3000,15300,61900
242,PSI Concrete with Fiber & Rods,0.0,3,949,3000,15300,75100
253,Engineering PC - Sam,0.0,5,906,5000,15500,70600
254,Engineering PC- Jon,0.0,5,906,5000,15500,70600
255,Dave R's Workstation,0.0,5,906,5000,15500,70600
258,Windchill Engineering Software,0.0,5,906,5000,15500,70700
259,Backup and recovery software - Acronis Intl,0.0,5,906,5000,15500,70700
264,Laptops for Carla and Tyler,0.0,5,906,5000,15500,70600
265,Computer Quality - Jackie,0.0,5,906,5000,15500,70600
269,3 Module Triax Accel Diff Out 25g,0.0,3,949,3000,15300,75100
274,Isgus Time Clock - New Bldg,0.0,3,0,3000,15300,61900
283,Catch Basin & Dock Apron,597.61,2,980,2980,15206,79900
284,Lighting - New Bldg.,0.0,2,0,2000,15200,61900
285,Electrical Wiring New Lighting,0.0,2,0,2000,15200,61900
286,Computer - Dave Richardson,0.0,5,906,5000,15500,70600
287,Computer - Brian Meier,0.0,5,906,5000,15500,70600
288,Computer - Joe O'Block,0.0,5,906,5000,15500,70600
289,Computer - Carla Home Log-In,0.0,5,906,5000,15500,70600
294,VM Ware Software,0.0,5,906,5000,15500,70700
295,Microsoft Software,0.0,5,906,5000,15500,70700
296,Windows Server Software,0.0,5,906,5000,15500,70700
297,SQL Server Software,0.0,5,906,5000,15500,70700
298,Phone System,0.0,3,0,3000,15300,61900
299,Deluxe Cylinder Dolly,0.0,3,0,3000,15300,61900
300,Floor Scrubber,0.0,3,0,3000,15300,61900
301,75 Bulldog Racking,0.0,3,0,3000,15300,61900
302,Stretch Wrapper,0.0,3,0,3000,15300,61900
303,25 Collapsible Containers,0.0,3,0,3000,15300,61900
304,40 Black Bins,0.0,3,1,3000,15300,50110
305,15 Wire Containers,0.0,3,1,3000,15300,50110
306,Granite Engineering Table,0.0,3,1,3000,15300,50110
307,Gorbel Bridge Crane & Hoists,0.0,3,1,3000,15300,50110
308,2 Dump Hoppers,0.0,3,1,3000,15300,50110
309,Shelving - New Building,0.0,3,1,3000,15300,50110
316,Offices - Lighting Wiring - Labor,0.0,2,0,2000,15200,61900
317,Offices - Walls Lumber - Labor,0.0,2,0,2000,15200,61900
318,Garage Door & Install,0.0,2,0,2000,15200,61900
319,Electrical Wiring New Lighting,0.0,2,0,2000,15200,61900
320,Security System New Butler,0.0,2,0,2000,15200,61900
321,Lighting New Offices,0.0,2,0,2000,15200,61900
322,Electrical Panals New Building,0.0,2,0,2000,15200,61900
323,14 Lighting,0.0,2,0,2000,15200,61900
324,Office Renovations,0.0,2,0,2000,15200,61900
